local_law_id,name,address,type_of_law_enforcement
1018439,CUARTEL DE LA POLICIA ESTATAL - ISABELA,CALLE JUAN HERNANDEZ 3201,LOCAL POLICE DEPARTMENT
1018531,POLICIA MUNICIPAL DE VEGA ALTA,"CARRETERA 2, KILOMETRO 30.8",LOCAL POLICE DEPARTMENT
1018532,CUARTEL DE LA POLICIA ESTATAL - VEGA BAJA,CALLE BETANCES 100,LOCAL POLICE DEPARTMENT
1018502,CUARTEL DE LA POLICIA ESTATAL - PRECINTO CAIMITO,"CARRETERA 842, SECTOR CAIMITO, KILOMETRO 2.3",LOCAL POLICE DEPARTMENT
1018524,CUARTEL DE LA POLICIA ESTATAL - LEVITTOWN,CALLE LUISA 4,LOCAL POLICE DEPARTMENT
1018527,COMANDANCIA DE AREA DE LA POLICIA - UTUADO,CARRETERA 111,LOCAL POLICE DEPARTMENT
1018528,DESTACAMENTO DE POLICIA ANGELES,CARRETERA 602,LOCAL POLICE DEPARTMENT
1011693,LEWIS AND CLARK COUNTY SHERIFF - SUBSTATION,406 SPARK ROAD,SHERIFF'S OFFICE
1022785,TOWN OF GORDON CONSTABLE,9709 EAST COUNTY ROAD Y,CONSTABLE/MARSHAL
1022861,TOWN OF LAKE MILLS POLICE DEPARTMENT,1111 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1023219,MABSCOTT POLICE DEPARTMENT,302 WHITE STICK STREET,LOCAL POLICE DEPARTMENT
1010664,EAST LYNNE POLICE DEPARTMENT,402 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1016262,WILLOWICK POLICE DEPARTMENT,30435 LAKE SHORE BOULEVARD,LOCAL POLICE DEPARTMENT
1023267,CLAY COUNTY SHERIFFS DEPARTMENT,246 MAIN STREET,SHERIFF'S OFFICE
1011207,CARTER COUNTY SHERIFFS DEPARTMENT,15 SYCAMORE STREET,SHERIFF'S OFFICE
1013163,SOMERSWORTH POLICE DEPARTMENT,12 LILAC LANE,LOCAL POLICE DEPARTMENT
1022530,TACOMA POLICE DEPARTMENT - SECTOR ONE,1522 MARTIN LUTHER KING JUNIOR WAY,LOCAL POLICE DEPARTMENT
1019060,SOUTH DAKOTA GAME FISH AND WILDLIFE DEPARTMENT OF LAW ENFORCEMENT,523 EAST CAPITOL AVENUE,PRIMARY STATE AGENCY
1023139,VESPER POLICE DEPARTMENT,6554 CAMERON AVENUE,LOCAL POLICE DEPARTMENT
1014143,NEVADA DEPARTMENT OF PUBLIC SAFETY - NEVADA HIGHWAY PATROL - WINNEMUCCA SUBSTATION,3505 CONSTRUCTION WAY,PRIMARY STATE AGENCY
1012081,NORTH CAROLINA STATE HIGHWAY PATROL TROOP C DISTRICT II,701 WEST GRANTHAM STREET,PRIMARY STATE AGENCY
1010449,MINNESOTA STATE PATROL - DISTRICT 3100,"101 HOOVER ROAD NORTH, SUITE 100",LOCAL POLICE DEPARTMENT
1016314,OKLAHOMA HIGHWAY PATROL - TROOP M,901 NORTH VETERANS DRIVE,PRIMARY STATE AGENCY
1010595,JASPER COUNTY SHERIFFS DEPARTMENT,2907 STATE HIGHWAY AA,SHERIFF'S OFFICE
1021556,LEEDS POLICE DEPARTMENT,218 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1019077,SOUTH DAKOTA HIGHWAY PATROL - DISTRICT 2 HEADQUARTERS,5316 WEST 60TH STREET NORTH,PRIMARY STATE AGENCY
1010110,MINNESOTA STATE HIGHWAY PATROL - DISTRICT 2900,1000 STATE HIGHWAY 10 WEST,PRIMARY STATE AGENCY
1010263,MINNESOTA STATE PATROL DISTRICT HEADQUARTERS 2300,1800 EAST COLLEGE DRIVE,LOCAL POLICE DEPARTMENT
1016452,OKLAHOMA STATE HIGHWAY PATROL - TROOP J,5725 WEST OWEN K GARRIOTT ROAD,PRIMARY STATE AGENCY
1022987,LAC LA BELLE POLICE DEPARTMENT,600 LAC LA BELLE DRIVE,LOCAL POLICE DEPARTMENT
1016738,OKLAHOMA HIGHWAY PATROL - TROOP B,9191 EAST SKELLY DRIVE,PRIMARY STATE AGENCY
1014136,NYE COUNTY SHERIFFS OFFICE - NORTH AREA COMMAND - HEADQUARTERS / NYE COUNTY JAIL,101 RADAR ROAD,SHERIFF'S OFFICE
1012207,NORTH CAROLINA STATE HIGHWAY PATROL TROOP E DISTRICT I,2314 SOUTH MAIN STREET,PRIMARY STATE AGENCY
1010806,MISSOURI DIVISION OF FIRE SAFETY,2401 EAST MCCARTY STREET,PRIMARY STATE AGENCY
1010965,NORFOLK SOUTHERN RAILROAD COMPANY POLICE,1130 BEDFORD ROAD,LOCAL POLICE DEPARTMENT
1015776,OHIO STATE HIGHWAY PATROL - PORTSMOUTH PATROL POST 73,7611 UNITED STATES HIGHWAY 23,PRIMARY STATE AGENCY
1023428,WEST VIRGINIA STATE POLICE TROOP 3 - PARSONS DETACHMENT,UNITED STATES HIGHWAY 219,PRIMARY STATE AGENCY
1011765,MONTANA STATE - HELENA AREA RESOURCE OFFICE,930 WEST CUSTER AVENUE,LOCAL POLICE DEPARTMENT
1021645,UTAH NATURAL RESOURCES DEPARTMENT,"1594 WEST NORTH TEMPLE, SUITE 3710",LOCAL POLICE DEPARTMENT
1023398,WEST VIRGINIA STATE POLICE TROOP 1 - MORGANTOWN DETACHMENT,"3453 MONONGAHELA BOULEVARD, SUITE 100",PRIMARY STATE AGENCY
1022664,CAMBRIDGE POLICE DEPARTMENT,200 SPRING STREET,LOCAL POLICE DEPARTMENT
1022330,GRANT COUNTY SHERIFFS OFFICE - GEORGE SUBSTATION,102 RICHMOND AVENUE,SHERIFF'S OFFICE
1012087,NORTH CAROLINA STATE HIGHWAY PATROL TROOP D DISTRICT V,1045 CEDAR CREST DRIVE,PRIMARY STATE AGENCY
1013570,ESSEX COUNTY PROSECUTORS OFFICE - INVESTIGATIVE DIVISION,"50 WEST MARKET STREET, NEW COURT HOUSE",LOCAL POLICE DEPARTMENT
1010834,MISSOURI STATE HIGHWAY PATROL TROOP D ZONE OFFICE - STONE COUNTY,9 BEACH BOULEVARD,PRIMARY STATE AGENCY
1013345,UNION COUNTY JAIL,15 ELIZABETHTOWN PLAZA,LOCAL POLICE DEPARTMENT
1021550,UTAH HIGHWAY PATROL - SECTION 9 - KANAB OFFICE,"130 EAST 100 SOUTH, SUITE 1",PRIMARY STATE AGENCY
1014077,HENDERSON MUNICIPAL COURT - MARSHALS OFFICE,243 SOUTH WATER STREET,CONSTABLE/MARSHAL
1014500,NEW YORK STATE POLICE TROOP L ZONE 2 - FISHERS ISLAND,WHISTLER AVE,PRIMARY STATE AGENCY
1014663,NEW YORK STATE POLICE TROOP T ZONE 2 - KINGSTON,50 ROUTE 28,PRIMARY STATE AGENCY
1000619,DEPARTMENT OF PUBLIC SAFETY HIGHWAY PATROL POST - SELMA,"AVENUE C, BUILDING 181-CRAIG FIELD",PRIMARY STATE AGENCY
1000247,COALING POLICE DEPARTMENT,11281 STEPHENS LOOP,LOCAL POLICE DEPARTMENT
1000782,1ST JUDICIAL DISTRICT DRUG TASK FORCE,113 SOUTH MAIN STREET,SPECIAL JURISDICTION
1000510,ALABAMA PUBLIC SERVICE COMMISSION,100 NORTH UNION STREET,LOCAL POLICE DEPARTMENT
1000971,ARKANSAS STATE POLICE TROOP A,1 STATE POLICE PLAZA DRIVE,PRIMARY STATE AGENCY
1000919,ARKANSAS STATE POLICE TROOP K,101 MID AMERICA BOULEVARD,PRIMARY STATE AGENCY
1000886,SEBASTIAN COUNTY SHERIFFS DEPARTMENT,301 EAST CENTER STREET,SHERIFF'S OFFICE
1000524,RED EAGLE HONOR FARM,1290 RED EAGLE ROAD,LOCAL POLICE DEPARTMENT
1000486,35TH JUDICIAL CIRCUIT TASK FORCE,133 DREWRY ROAD,SPECIAL JURISDICTION
1000528,LAWRENCE COUNTY SHERIFFS DEPARTMENT / LAWRENCE COUNTY JAIL,242 PARKER ROAD,SHERIFF'S OFFICE
1000661,12TH JUDICIAL CIRCUIT TASK FORCE,216 SOUTH OAK STREET,SPECIAL JURISDICTION
1000263,CULLMAN COUNTY JUVENILE DETENTION CENTER,1906 BEECH AVENUE SOUTHEAST,LOCAL POLICE DEPARTMENT
1000282,ALCOHOLIC BEVERAGE CONTROL LAW ENFORCEMENT - DOTHAN OFFICE,"104 ADRIS PLACE, SUITE 20",SPECIAL JURISDICTION
1000316,ALCOHOLIC BEVERAGE CONTROL LAW ENFORCEMENT - FLORENCE OFFICE,112 TITAN DRIVE,SPECIAL JURISDICTION
1000633,ALABAMA DEPARTMENT OF CONSERVATION AND NATURAL RESOURCES - DISTRICT 5 WILDLIFE OFFICE,30571 5 RIVER BOULEVARD,PRIMARY STATE AGENCY
1000559,FRANK JACKSON STATE PARK RANGER STATION,100 JERRY ADAMS DRIVE,LOCAL POLICE DEPARTMENT
1000604,JOE WHEELER STATE PARK RANGER STATION,201 MCLEAN DRIVE,LOCAL POLICE DEPARTMENT
1000400,HUNTSVILLE POLICE DEPARTMENT - NORTH PRECINCT,4014 N MEMORIAL PKWY,LOCAL POLICE DEPARTMENT
1000553,HIGHLAND LAKE POLICE DEPARTMENT,612 LAKESHORE DRIVE,LOCAL POLICE DEPARTMENT
1000402,HUNTSVILLE POLICE DEPARTMENT - WEST PRECINCT,2110 CLINTON AVENUE,LOCAL POLICE DEPARTMENT
1000401,HUNTSVILLE POLICE DEPARTMENT - SOUTH PRECINT,7900 BAILEY COVE ROAD SOUTHEAST,LOCAL POLICE DEPARTMENT
1000573,SAINT CLAIR COUNTY SHERIFFS DEPARTMENT,1610 COGSWELL AVENUE,SHERIFF'S OFFICE
1000583,ALABAMA DEPARTMENT OF CONSERVATION AND NATURAL RESOURCES - WILDLIFE AND FRESHWATER FISHERIES LAW ENFORCEMENT DISTRICT 4,1820 GLYNWOOD DRIVE,PRIMARY STATE AGENCY
1000495,ALABAMA CRIMINAL JUSTICE INFORMATION CENTER,770 WASHINGTON AVENUE,LOCAL POLICE DEPARTMENT
1000139,WIND CREEK STATE PARK RANGER STATION,4325 STATE HIGHWAY 128,LOCAL POLICE DEPARTMENT
1000503,ALABAMA DEPARTMENT OF PUBLIC SAFETY DRIVERS LICENSE DIVISION,301 SOUTH RIPLEY STREET,PRIMARY STATE AGENCY
1000422,WALKER COUNTY NARCOTIC ENFORCEMENT TEAM,301 15TH STREET NORTHEAST,LOCAL POLICE DEPARTMENT
1000301,LAKEPOINT STATE PARK RANGER STATION,104 LAKE POINT INDUSTRIAL PARK DRIVE,LOCAL POLICE DEPARTMENT
1000189,CSX RAILROAD POLICE,4100 VANDERBILT ROAD,LOCAL POLICE DEPARTMENT
1000474,MOBILE POLICE DEPARTMENT - DOCTOR MARTIN LUTHER KING MINI-STATION,880 DOCTOR MARTIN LUTHER KING JUNIOR AVENUE,LOCAL POLICE DEPARTMENT
1000393,HOOVER POLICE DEPARTMENT - POLICE OPERATIONS STATION,3142 LORNA ROAD,LOCAL POLICE DEPARTMENT
1000238,CHILDERSBURG POLICE DEPARTMENT - SUBSTATION,119 6TH AVE SW,LOCAL POLICE DEPARTMENT
1000519,HUNTINGDON COLLEGE SECURITY DEPARTMENT,1500 EAST FAIRVIEW AVENUE,SPECIAL JURISDICTION
1000413,1ST JUDICIAL CIRCUIT TASK FORCE,123 FOREST AVENUE,SPECIAL JURISDICTION
1000407,MADISON COUNTY SHERIFFS DEPARTMENT-SUBSTATION,715A WHEELER AVENUE NORTHWEST,SHERIFF'S OFFICE
1000186,BELLSOUTH SECURITY,"3196 UNITED STATES HIGHWAY 280 S, ROOM 320F",LOCAL POLICE DEPARTMENT
1000398,ALCOHOLIC BEVERAGE CONTROL BOARD ENFORCEMENT OFFICE,210A EXCHANGE PLACE,SPECIAL JURISDICTION
1000359,GULF STATE PARK RANGER STATION,20115 STATE HIGHWAY 135,LOCAL POLICE DEPARTMENT
1000654,ALCOHOLIC BEVERAGE CONTROL LAW ENFORCEMENT - GROVE HILL OFFICE,32850 UNITED STATES HIGHWAY 43,SPECIAL JURISDICTION
1000148,ALCOHOLIC BEVERAGE CONTROL LAW ENFORCEMENT - ANNISTON OFFICE,1826 QUINTARD AVENUE,SPECIAL JURISDICTION
1000841,ARKANSAS GAME AND FISH COMMISSION LAW ENFORCEMENT - NORTHWEST REGIONAL OFFICE,455 DAM SITE ROAD,PRIMARY STATE AGENCY
1000606,FRANKLIN COUNTY DETENTION CENTER,748 WALNUT GATE ROAD,LOCAL POLICE DEPARTMENT
1000205,21ST JUDICIAL CIRCUIT TASK FORCE,400 BELLEVILLE AVENUE,SPECIAL JURISDICTION
1000918,ARKANSAS GAME AND FISH COMMISSION LAW ENFORCEMENT - HOT SPRINGS REGIONAL OFFICE,350 FISH HATCHERY ROAD,PRIMARY STATE AGENCY
1000825,SOUTHEAST ARKANSAS LAW ENFORCEMENT CENTER- HIGHWAY PATROL STATION,605 UNITED STATES HIGHWAY 65,PRIMARY STATE AGENCY
1000981,PULASKI COUNTY SHERIFF SOUTHWEST DISTRICT OFFICE,25724 KANIS ROAD,SHERIFF'S OFFICE
1000710,ALTHEIMER POLICE DEPARTMENT,308 WEST FRONT STREET,LOCAL POLICE DEPARTMENT
1000721,9TH WEST JUDICIAL DISTRICT DRUG TASK FORCE,"351 NORTH 2ND STREET, SUITE 13",SPECIAL JURISDICTION
1000972,FIRE MARSHAL SERVICE,624 SOUTH CHESTER STREET,CONSTABLE/MARSHAL
1000730,16TH JUDICIAL DISTRICT DRUG TASK FORCE,368 EAST MAIN STREET,SPECIAL JURISDICTION
1000820,DONALDSON CITY MARSHAL,109 NORTH FRONT STREET,CONSTABLE/MARSHAL
1000937,JERICHO POLICE DEPARTMENT,31 WALLACE AVENUE,LOCAL POLICE DEPARTMENT
1000867,FOUNTAIN HILL POLICE DEPARTMENT,201 PINE STREET,LOCAL POLICE DEPARTMENT
1000873,GILMORE POLICE DEPARTMENT,97 FRONT STREET,LOCAL POLICE DEPARTMENT
1000951,CRAIGHEAD COUNTY SHERIFFS OFFICE - EAST,107 COBEAN BOULEVARD,SHERIFF'S OFFICE
1000980,PULASKI COUNTY SHERIFF SOUTHEAST DISTRICT OFFICE,3924 NEELY ROAD,SHERIFF'S OFFICE
1000806,YELL COUNTY SHERIFF - DARDANELL OFFICE,106 UNION STREET,SHERIFF'S OFFICE
1000831,EDMONDSON POLICE DEPARTMENT,61 WATERFORD STREET,LOCAL POLICE DEPARTMENT
1000950,KINGSLAND POLICE DEPARTMENT,2ND STREET AT LARCH STREET,LOCAL POLICE DEPARTMENT
1000791,COLT POLICE DEPARTMENT,281 OLD MILITARY ROAD EAST,LOCAL POLICE DEPARTMENT
1000934,PULASKI COUNTY SHERIFF NORTHCENTER DISTRICT OFFICE,1 BETH DRIVE,SHERIFF'S OFFICE
1000929,HUNTINGTON POLICE DEPARTMENT,122 EAST BROADWAY STREET,LOCAL POLICE DEPARTMENT
1000854,FOREMAN MARSHAL OFFICE,503 EAST 1ST AVENUE,CONSTABLE/MARSHAL
1000834,ELAINE POLICE DEPARTMENT,116 MAIN STREET,LOCAL POLICE DEPARTMENT
1000947,JUNCTION CITY POLICE DEPARTMENT,207 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1000802,15TH JUDICIAL DISTRICT DRUG TASK FORCE,522 MAIN STREET,SPECIAL JURISDICTION
1000843,EVENING SHADE POLICE DEPARTMENT,223 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1000963,6TH JUDICIAL DISTRICT DRUG TASK FORCE,122 SOUTH BROADWAY STREET,SPECIAL JURISDICTION
1000913,ARKANSAS STATE POLICE TROOP G,2501 NORTH HAZEL STREET,PRIMARY STATE AGENCY
1000738,BENTON COUNTY SHERIFFS OFFICE - BELLA VISTA DIVISION,1300 SW 14TH ST,SHERIFF'S OFFICE
1000875,GOSHEN CITY MARSHAL,124 SOUTH CHURCH STREET,CONSTABLE/MARSHAL
1000866,FOUKE POLICE DEPARTMENT,106 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1000976,LITTLE ROCK POLICE DEPARTMENT - SOUTHWEST SUBSTATION,6401 BASELINE ROAD,LOCAL POLICE DEPARTMENT
1000978,PULASKI COUNTY CORONERS OFFICE,"201 SOUTH BROADWAY STREET, SUITE 340",LOCAL POLICE DEPARTMENT
1000711,ALTUS POLICE DEPARTMENT,205 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1000828,DYER POLICE DEPARTMENT,305 WASHINGTON STREET,LOCAL POLICE DEPARTMENT
1000780,CHERRY VALLEY POLICE DEPARTMENT,166 STATE HIGHWAY 1 BUSINESS ROUTE,LOCAL POLICE DEPARTMENT
1000924,HOUSTON CITY POLICE,2087 STATE HIGHWAY 60 EAST,LOCAL POLICE DEPARTMENT
1000824,SOUTHEAST ARKANSAS LAW ENFORCEMENT CENTER - ALCOHOL TOBACCO FIREARMS AND EXPLOSIVES,605 UNITED STATES HIGHWAY 65,SPECIAL JURISDICTION
1000975,LITTLE ROCK POLICE DEPARTMENT - NORTHWEST SUBSTATION,10001 KANIS ROAD,LOCAL POLICE DEPARTMENT
1000926,HUGHES POLICE DEPARTMENT,202 BLACKWOOD STREET,LOCAL POLICE DEPARTMENT
1000939,JOINER POLICE DEPARTMENT,209 UNITED STATES HIGHWAY 61,LOCAL POLICE DEPARTMENT
1000994,MAGNOLIA HOUSING AUTHORITY,100 MEADOWBROOK LANE,LOCAL POLICE DEPARTMENT
1000796,CLAY COUNTY SHERIFFS DEPARTMENT,800 SOUTHWEST 2ND STREET,SHERIFF'S OFFICE
1000768,CAMDEN POLICE DEPARTMENT - SUBSTATION,920 DAY STREET,LOCAL POLICE DEPARTMENT
1000974,LITTLE ROCK POLICE DEPARTMENT - DOWNTOWN PRECINCT,300 EAST ROOSEVELT ROAD,LOCAL POLICE DEPARTMENT
1000764,CALION POLICE DEPARTMENT,125 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1000812,DELL POLICE DEPARTMENT,407 SECOND,LOCAL POLICE DEPARTMENT
1000757,ARKANSAS GAME AND FISH COMMISSION LAW ENFORCEMENT - EAST CENTRAL REGIONAL OFFICE,1201 NORTH UNITED STATES HIGHWAY 49,PRIMARY STATE AGENCY
1000766,ARKANSAS GAME AND FISH COMMISSION LAW ENFORCEMENT - SOUTH CENTRAL REGIONAL OFFICE,500 BEN LANE,PRIMARY STATE AGENCY
1000977,NORTH LITTLE ROCK POLICE DEPARTMENT - SILVER CITY COURT OFFICE,401 W MARKHAM ST,LOCAL POLICE DEPARTMENT
1000826,SOUTHEAST ARKANSAS LAW ENFORCEMENT CENTER- STATE POLICE TROOP E,605 UNITED STATES HIGHWAY 65,PRIMARY STATE AGENCY
1000846,4TH JUDICIAL DISTRICT DRUG TASK FORCE,100 WEST ROCK STREET,SPECIAL JURISDICTION
1000792,CONCORD CITY MARSHAL,75 CENTRAL STREET,CONSTABLE/MARSHAL
1000827,SOUTHEAST ARKANSAS LAW ENFORCEMENT CENTER-DESHA COUNTY SHERIFF SUBSTATION,605 UNITED STATES HIGHWAY 65,SHERIFF'S OFFICE
1000765,13TH JUDICIAL DISTRICT DRUG TASK FORCE,135 JACKSON STREET SOUTHEAST,SPECIAL JURISDICTION
1000823,MITCHELLVILLE POLICE DEPARTMENT,216 EMILY BOWEN DRIVE,LOCAL POLICE DEPARTMENT
1000781,CHIDESTER POLICE DEPARTMENT,5265 STATE HIGHWAY 24,LOCAL POLICE DEPARTMENT
1000979,PULASKI COUNTY SHERIFF SOUTHCENTER DISTRICT OFFICE,10800 ARCH STREET,SHERIFF'S OFFICE
1000940,ARKANSAS GAME AND FISH COMMISSION LAW ENFORCEMENT - NORTHEAST REGIONAL OFFICE,"2920 MCCLELLAN DRIVE, SUITE 1280",PRIMARY STATE AGENCY
1000809,SOUTH CENTRAL ARKANSAS DRUG TASK FORCE,115 NORTH 3RD STREET,SPECIAL JURISDICTION
1000785,ARKANSAS STATE POLICE TROOP J,2700 WEST MAIN STREET,PRIMARY STATE AGENCY
1000837,ALLPORT POLICE DEPARTMENT,100 NORTH FRONT STREET,LOCAL POLICE DEPARTMENT
1000763,ARKANSAS GAME AND FISH COMMISSION LAW ENFORCEMENT - NORTH CENTRAL REGIONAL OFFICE,STATE HIGHWAY 56 EAST,PRIMARY STATE AGENCY
1000912,ARKANSAS HIGHWAY POLICE - HOPE,"INTERSTATE HIGHWAY 30 EAST, MILE MARKER 26",PRIMARY STATE AGENCY
1000859,12TH JUDICIAL DISTRICT DRUG TASK FORCE,"35 SOUTH 6TH STREET, ROOM 301",SPECIAL JURISDICTION
1000920,DIAMONDHEAD POLICE DEPARTMENT,110 INDEPENDENCE DRIVE,LOCAL POLICE DEPARTMENT
1000941,ARKANSAS STATE POLICE TROOP C,2216 ACCESS ROAD,PRIMARY STATE AGENCY
1000865,WESTARK COMMUNITY COLLEGE SECURITY,5210 GRAND AVENUE,SPECIAL JURISDICTION
1000927,HUMNOKE POLICE DEPARTMENT,94 NORTH FOURTH,LOCAL POLICE DEPARTMENT
1000917,18TH EAST JUDICIAL DISTRICT DRUG TASK FORCE,501 OUACHITA AVENUE,SPECIAL JURISDICTION
1000861,ARKANSAS STATE POLICE TROOP H,5728 KELLEY HIGHWAY,PRIMARY STATE AGENCY
1000581,PISGAH POLICE DEPARTMENT,6100 COUNTY ROAD 88,LOCAL POLICE DEPARTMENT
1000253,SHELBY COUNTY DRUG TASK FORCE,"54 KELLY LANE, SUITE 2",SPECIAL JURISDICTION
1000151,CALHOUN-CLEBURN COUNTY DRUG AND VIOLENT CRIME TASK FORCE,1106 GURNEE AVENUE,SPECIAL JURISDICTION
1000477,MOBILE POLICE DEPARTMENT - NARCOTICS DIVISION,"107 SAINT FRANCIS STREET, 20TH FLOOR",LOCAL POLICE DEPARTMENT
1000597,RIVER FALLS POLICE DEPARTMENT,24681 FIREHOUSE ROAD,LOCAL POLICE DEPARTMENT
1000690,WALNUT GROVE POLICE DEPARTMENT,4012 GADSDEN BLOUNTSVILLE ROAD,LOCAL POLICE DEPARTMENT
1000450,LYNN POLICE DEPARTMENT,381 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1000274,ALABAMA DEPARTMENT OF PUBLIC SAFETY HIGHWAY PATROL DIVISION - DECATUR POST,4204 UNITED STATES HIGHWAY 31 SOUTH,PRIMARY STATE AGENCY
1000587,PRICHARD POLICE DEPARTMENT - MINI PRECINCT,447 DUNLAP CIRCLE,LOCAL POLICE DEPARTMENT
1000380,WHITE HALL POLICE DEPARTMENT,625 FREEDOM ROAD,LOCAL POLICE DEPARTMENT
1000335,GANTT POLICE DEPARTMENT,27820 COMMERCE STREET,LOCAL POLICE DEPARTMENT
1000347,MOBILE COUNTY SHERIFFS DEPARTMENT - GRAND BAY SUBSTATION,12611 UNITED STATES HIGHWAY 90 WEST,SHERIFF'S OFFICE
1000622,MOBILE COUNTY SHERIFFS DEPARTMENT - SEMMES SUBSTATION,10121 MOFFETT ROAD,SHERIFF'S OFFICE
1000658,TOXEY POLICE DEPARTMENT,"16100 STATE HIGHWAY 17, CITY HALL",LOCAL POLICE DEPARTMENT
1000145,ANDALUSIA WILDLIFE AND FISHERIES OFFICE,1100 SOUTH THREE NOTCH STREET,LOCAL POLICE DEPARTMENT
1000504,ALABAMA DEPARTMENT OF PUBLIC SAFETY NARCOTICS OPERATIONS SERVICE,301 SOUTH RIPLEY STREET,PRIMARY STATE AGENCY
1000196,SAMFORD UNIVERSITY DEPARTMENT OF CAMPUS SAFETY,800 LAKESHORE DRIVE,SPECIAL JURISDICTION
1000138,DEPARTMENT OF PUBLIC SAFETY HIGHWAY PATROL POST - ALEXANDER CITY,1325 AIRPORT ROAD,PRIMARY STATE AGENCY
1000135,CITY OF ALBERTVILLE FIRE MARSHAL - DEPUTY AND ASSISTANT CHIEF,"212 SOUTH BROAD STREET, ALBERTVILLE FIRE DEPARTMENT STATION 1",SPECIAL JURISDICTION
1000502,ALABAMA DEPARTMENT OF PUBLIC SAFETY BUREAU OF INVESTIGATION DIVISION,301 SOUTH RIPLEY STREET,PRIMARY STATE AGENCY
1000249,LAKE LURLEEN STATE PARK,13226 LAKE LURLEEN ROAD,LOCAL POLICE DEPARTMENT
1000276,MORGAN COUNTY LICENSE INSPECTOR,"302 LEE STREET NORTHEAST, MORGAN COUNTY COURTHOUSE",LOCAL POLICE DEPARTMENT
1000699,CENTRAL ALABAMA DRUG TASK FORCE,8935 UNITED STATES HIGHWAY 231,SPECIAL JURISDICTION
1000397,ALABAMA DEPARTMENT OF PUBLIC SAFETY - HUNTSVILLE POST,716 ARCADIA CIRCLE NORTHWEST,PRIMARY STATE AGENCY
1000173,CHEWACLA STATE PARK,124 SHELL TOOMER PARKWAY,LOCAL POLICE DEPARTMENT
1000168,DEPARTMENT OF PUBLIC SAFETY HIGHWAY PATROL - GADSDEN POST,919 5TH AVENUE NORTHEAST,PRIMARY STATE AGENCY
1000567,SOUTHEAST ALABAMA CRIMINAL INTELLIGENCE PROGRAM,"100 COURT SQUARE, COURTHOUSE",LOCAL POLICE DEPARTMENT
1000333,ETOWAH COUNTY DRUG ENFORCEMENT UNIT,201 NORTH 9TH STREET,LOCAL POLICE DEPARTMENT
1000299,BARBOUR COUNTY DRUG TASK FORCE,545 EAST BARBOUR STREET,SPECIAL JURISDICTION
1000283,DEPARTMENT OF PUBLIC SAFETY HIGHWAY PATROL POST - DOTHAN,5679 MONTGOMERY HIGHWAY,PRIMARY STATE AGENCY
1000505,ALABAMA DEPARTMENT OF PUBLIC SAFETY SERVICE DIVISION,301 SOUTH RIPLEY STREET,PRIMARY STATE AGENCY
1000136,ALABAMA MARINE POLICE DISTRICT III,126 MARINA ROAD,LOCAL POLICE DEPARTMENT
1000473,MOBILE POLICE DEPARTMENT - CENTRAL EVENTS MINI-STATION,320 DAUPHIN STREET,LOCAL POLICE DEPARTMENT
1000484,UNIVERSITY OF SOUTH ALABAMA POLICE DEPARTMENT - ADMINISTRATION AND INVESTIGATION,"307 NORTH UNIVERSITY BOULEVARD, FACULTY COURT SOUTH BUILDING",SPECIAL JURISDICTION
1000479,MOBILE POLICE DEPARTMENT - PRECINCT 2,"5441 HIGHWAY 90, SUITE 25",LOCAL POLICE DEPARTMENT
1000480,MOBILE POLICE DEPARTMENT - PRECINCT 3,2165 SAINT STEPHENS ROAD,LOCAL POLICE DEPARTMENT
1000520,MONTGOMERY AIRPORT POLICE DEPARTMENT,4445 SELMA HIGHWAY,LOCAL POLICE DEPARTMENT
1000570,OAK MOUNTAIN STATE PARK POLICE,200 TERRACE DRIVE,LOCAL POLICE DEPARTMENT
1000420,BEVILL STATE COMMUNITY COLLEGE - JASPER CAMPUS POLICE,1411 INDIANA AVENUE,SPECIAL JURISDICTION
1000501,ALABAMA DEPARTMENT OF PUBLIC SAFETY EXECUTIVE SECURITY UNIT,301 SOUTH RIPLEY STREET,PRIMARY STATE AGENCY
1000476,MOBILE POLICE DEPARTMENT - JOSEPHINE ALLEN MINI-STATION,708 PHILLIPS AVENUE,LOCAL POLICE DEPARTMENT
1000623,ALABAMA DEPARTMENT OF PUBLIC SAFETY HIGHWAY PATROL DIVISION - QUAD CITIES POST,4500 HATCH BOULEVARD,PRIMARY STATE AGENCY
1000466,ALABAMA NARCOTIC INTELLIGENCE PROGRAM - SHERIFFS OFFICE,"1150 GOVERNMENT STREET, ROOM 200",SHERIFF'S OFFICE
1000652,ALABAMA ALCOHOLIC BEVERAGE CONTROL BOARD - ENFORCEMENT DIVISION,5660 UNITED STATES HIGHWAY 90 WEST,SPECIAL JURISDICTION
1000171,AUBURN PUBLIC SAFETY DEPARTMENT,161 NORTH ROSS STREET,PRIMARY STATE AGENCY
